"";"code_ecole";"nom_ecole";"commune";"academie";"densite";"secteur";"rep";"classes";"eleves"
"7291";"0212140M";"ECOLE MATERNELLE PUBLIQUE VAL SULLY";"SAINT-APOLLINAIRE";"DIJON";"#N/A";"PUBLIC";0;3;66
"7429";"0220808J";"ECOLE PRIMAIRE PUBLIQUE JACQUES PREVERT";"CREHEN";"RENNES";"Bourgs ruraux";"PUBLIC";0;2;47
"7503";"0221128G";"ECOLE MATERNELLE PRIVEE SAINT GILDAS";"LA HARMOYE";"RENNES";"Rural à habitat très dispersé";"PRIVE";0;1;21
"7549";"0221219F";"ECOLE PRIMAIRE PRIVEE SAINT JOSEPH";"PLESLIN-TRIGAVOU";"RENNES";"Bourgs ruraux";"PRIVE";0;5;116
"7577";"0221286D";"ECOLE MATERNELLE PRIVEE NOTRE DAME";"LE QUILLIO";"RENNES";"Rural à habitat dispersé";"PRIVE";0;1;16
"7623";"0221395X";"ECOLE PRIMAIRE PRIVEE DUGUESCLIN";"DINAN";"RENNES";"Centres urbains intermédiaires";"PRIVE";0;8;218
"7634";"0221415U";"ECOLE ELEMENTAIRE PRIVEE SACRE COEUR";"GUITTE";"RENNES";"Rural à habitat dispersé";"PRIVE";0;4;74
"7678";"0221463W";"ECOLE MATERNELLE PUBLIQUE -";"MEGRIT";"RENNES";"Rural à habitat très dispersé";"PUBLIC";0;2;34
"7681";"0221478M";"ECOLE MATERNELLE PUBLIQUE PAULINE KERGOMARD";"PLAINTEL";"RENNES";"Bourgs ruraux";"PUBLIC";0;5;103
"7814";"0230133V";"ECOLE PRIMAIRE PUBLIQUE -";"GENOUILLAC";"LIMOGES";"Rural à habitat dispersé";"PUBLIC";0;4;61
"7956";"0240212A";"ECOLE PRIMAIRE -";"CALES";"BORDEAUX";"Rural à habitat dispersé";"PUBLIC";0;1;14
"8119";"0240704K";"ECOLE ELEMENTAIRE PUBLIQUE -";"NADAILLAC";"BORDEAUX";"Rural à habitat très dispersé";"PUBLIC";1;2;42
"8150";"0240756S";"ECOLE PRIMAIRE PUBLIQUE -";"SARLIAC-SUR-L'ISLE";"BORDEAUX";"Rural à habitat dispersé";"PUBLIC";0;5;94
"8226";"0240932H";"ECOLE PRIMAIRE PRIVEE SAINT JACQUES";"BERGERAC";"BORDEAUX";"Centres urbains intermédiaires";"PRIVE";0;9;199
"8230";"0240939R";"ECOLE PRIMAIRE PRIVEE SACRE COEUR";"PERIGUEUX";"BORDEAUX";"Centres urbains intermédiaires";"PRIVE";0;6;109
