"";"code_ecole";"nom_ecole";"commune";"academie";"densite";"secteur";"rep";"classes";"eleves"
"29844";"0670925S";"ECOLE PRIMAIRE PUBLIQUE -";"UHLWILLER";"STRASBOURG";"Rural à habitat dispersé";"PUBLIC";0;2;33
"29900";"0671184Y";"ECOLE PRIMAIRE PUBLIQUE -";"OTTERSTHAL";"STRASBOURG";"Ceintures urbaines";"PUBLIC";0;3;76
"29926";"0671264K";"ECOLE PRIMAIRE PUBLIQUE -";"BAREMBACH";"STRASBOURG";"Petites villes";"PUBLIC";0;3;55
"29932";"0671296V";"ECOLE PRIMAIRE PUBLIQUE -";"BALBRONN";"STRASBOURG";"Rural à habitat dispersé";"PUBLIC";0;3;63
"30011";"0671723J";"ECOLE PRIMAIRE PUBLIQUE ALBERT LE GRAND";"STRASBOURG";"STRASBOURG";"Grands centres urbains";"PUBLIC";0;15;345
"30070";"0672027P";"ECOLE PRIMAIRE PUBLIQUE -";"KALTENHOUSE";"STRASBOURG";"Ceintures urbaines";"PUBLIC";0;5;112
"30087";"0672083A";"ECOLE PRIMAIRE PUBLIQUE BRIAND";"BENFELD";"STRASBOURG";"Ceintures urbaines";"PUBLIC";0;12;272
"30178";"0672383B";"ECOLE PRIMAIRE PRIVEE JOIE DE VIVRE";"STRASBOURG";"STRASBOURG";"Grands centres urbains";"PRIVE";0;10;203
"30179";"0672386E";"ECOLE PRIMAIRE PUBLIQUE -";"SCHIRRHEIN";"STRASBOURG";"Bourgs ruraux";"PUBLIC";0;6;130
"30234";"0672648P";"ECOLE PRIMAIRE PUBLIQUE -";"DETTWILLER";"STRASBOURG";"Bourgs ruraux";"PUBLIC";0;8;151
"30241";"0672665H";"ECOLE PRIMAIRE PUBLIQUE ELEONORE";"STRASBOURG";"STRASBOURG";"Grands centres urbains";"PUBLIC";1;15;235
"30412";"0680573D";"ECOLE MATERNELLE PUBLIQUE AUX REMPARTS";"ROUFFACH";"STRASBOURG";"#N/A";"PUBLIC";0;1;20
"30414";"0680577H";"ECOLE MATERNELLE PUBLIQUE LES MOUSTIQUES";"RUMERSHEIM-LE-HAUT";"STRASBOURG";"Bourgs ruraux";"PUBLIC";0;1;25
"30470";"0680690F";"ECOLE MATERNELLE PUBLIQUE QUATRE SAISONS";"ILLZACH";"STRASBOURG";"Grands centres urbains";"PUBLIC";0;4;88
"30479";"0680712E";"ECOLE MATERNELLE PUBLIQUE -";"NIEDERHERGHEIM";"STRASBOURG";"Petites villes";"PUBLIC";0;2;37
"30565";"0681080E";"ECOLE MATERNELLE PUBLIQUE LES TULIPES";"COLMAR";"STRASBOURG";"Grands centres urbains";"PUBLIC";0;3;47
"30780";"0681697A";"ECOLE MATERNELLE PUBLIQUE -";"LABAROCHE";"STRASBOURG";"Bourgs ruraux";"PUBLIC";0;2;54
"30902";"0690452S";"ECOLE MATERNELLE PUBLIQUE ALSACE LORRAINE";"BRON";"LYON";"Grands centres urbains";"PUBLIC";0;5;129
"30911";"0690468J";"ECOLE MATERNELLE PUBLIQUE JEAN JAURES";"CALUIRE-ET-CUIRE";"LYON";"Grands centres urbains";"PUBLIC";0;6;151
"30915";"0690481Y";"ECOLE MATERNELLE PUBLIQUE VILLAGE";"IRIGNY";"LYON";"Grands centres urbains";"PUBLIC";0;4;89
"30917";"0690491J";"ECOLE MATERNELLE PUBLIQUE PAUL GAUGUIN";"GRIGNY";"LYON";"Centres urbains intermédiaires";"PUBLIC";0;4;93
"30990";"0690908M";"ECOLE PRIMAIRE PUBLIQUE ERNEST RENAN";"VENISSIEUX";"LYON";"Grands centres urbains";"PUBLIC";1;19;334
"31028";"0691046M";"ECOLE MATERNELLE PUBLIQUE GEORGES LAPIERRE";"LYON  4E  ARRONDISSEMENT";"LYON";"#N/A";"PUBLIC";0;3;57
"31033";"0691052U";"ECOLE MATERNELLE PUBLIQUE JULES VERNE";"LYON  3E  ARRONDISSEMENT";"LYON";"#N/A";"PUBLIC";0;7;162
"31055";"0691124X";"ECOLE PRIMAIRE PUBLIQUE MONNET ROLAND";"VILLEFRANCHE-SUR-SAONE";"LYON";"Centres urbains intermédiaires";"PUBLIC";0;14;306
"31121";"0691285X";"ECOLE PRIMAIRE PUBLIQUE -";"LES HAIES";"LYON";"Rural à habitat dispersé";"PUBLIC";0;3;56
"31279";"0692002B";"ECOLE PRIMAIRE PRIVEE SAINT POTHIN-OZANAM";"LYON  6E  ARRONDISSEMENT";"LYON";"#N/A";"PRIVE";0;13;363
"31421";"0692617V";"ECOLE MATERNELLE PUBLIQUE DU CLOS";"BRINDAS";"LYON";"Ceintures urbaines";"PUBLIC";0;8;194
"31460";"0692833E";"ECOLE ELEMENTAIRE PUBLIQUE CHANTABEAU";"SOLAIZE";"LYON";"Ceintures urbaines";"PUBLIC";0;9;215
"31553";"0693158H";"ECOLE ELEMENTAIRE PUBLIQUE LES CHADRILLONS";"SOUCIEU-EN-JARREST";"LYON";"Ceintures urbaines";"PUBLIC";0;12;302
"31562";"0693197A";"ECOLE ELEMENTAIRE PUBLIQUE ROBERT DOISNEAU";"GLEIZE";"LYON";"Centres urbains intermédiaires";"PUBLIC";0;4;98
"31592";"0693297J";"ECOLE MATERNELLE PUBLIQUE LAURENT MOURGUET";"LYON  3E  ARRONDISSEMENT";"LYON";"#N/A";"PUBLIC";0;4;99
"31634";"0693455F";"ECOLE PRIMAIRE PUBLIQUE LES BLEUETS";"LYON  9E  ARRONDISSEMENT";"LYON";"#N/A";"PUBLIC";1;11;196
"31647";"0693472Z";"ECOLE PRIMAIRE PUBLIQUE JOLIOT CURIE";"MIONS";"LYON";"Centres urbains intermédiaires";"PUBLIC";0;15;313
"31670";"0693568D";"ECOLE PRIMAIRE PUBLIQUE LA SAULAIE";"OULLINS";"LYON";"Grands centres urbains";"PUBLIC";1;8;128
"31695";"0693643K";"ECOLE PRIMAIRE PUBLIQUE ETOILE D ALAI";"FRANCHEVILLE";"LYON";"Grands centres urbains";"PUBLIC";0;9;172
"31711";"0693724Y";"ECOLE ELEMENTAIRE PUBLIQUE ANATOLE FRANCE";"VILLEURBANNE";"LYON";"Grands centres urbains";"PUBLIC";0;14;334
"31795";"0694099F";"ECOLE PRIMAIRE PUBLIQUE DU GARON";"MONTAGNY";"LYON";"Ceintures urbaines";"PUBLIC";0;5;127
"31921";"0700625Z";"POLE EDUCATIF -";"MONTBOZON";"BESANCON";"Rural à habitat dispersé";"PUBLIC";0;7;154
"31948";"0700803T";"ECOLE PRIMAIRE PRIVEE ST-PIERRE FOURIER";"GRAY";"BESANCON";"Petites villes";"PRIVE";0;6;153
"31981";"0700926B";"ECOLE ELEMENTAIRE PUBLIQUE DE LONGEVILLE";"ECHENOZ-LA-MELINE";"BESANCON";"Ceintures urbaines";"PUBLIC";0;4;77
"32064";"0710209S";"ECOLE MATERNELLE PUBLIQUE CENTRE";"BOURBON-LANCY";"DIJON";"Bourgs ruraux";"PUBLIC";0;3;55
"32091";"0710254R";"ECOLE PRIMAIRE PUBLIQUE RENE BOUDIER";"VIRE";"DIJON";"Rural à habitat dispersé";"PUBLIC";0;6;127
"32136";"0710440T";"ECOLE PRIMAIRE -";"MASSILLY";"DIJON";"Rural à habitat dispersé";"PUBLIC";0;3;68
"32351";"0711211F";"ECOLE PRIMAIRE PRIVEE NOTRE-DAME";"MACON";"DIJON";"Centres urbains intermédiaires";"PRIVE";0;14;369
"32462";"0711582J";"ECOLE PRIMAIRE PUBLIQUE -";"COUBLANC";"DIJON";"Rural à habitat dispersé";"PUBLIC";0;3;54
"32578";"0720110D";"ECOLE PRIMAIRE PUBLIQUE RPIC 17 CHERANCE";"CHERANCE";"NANTES";"Rural à habitat dispersé";"PUBLIC";0;3;43
"32622";"0720253J";"ECOLE PRIMAIRE PUBLIQUE RPID 46 NEUFCHATEL-EN-SAOSNOIS";"NEUFCHATEL-EN-SAOSNOIS";"NANTES";"Rural à habitat dispersé";"PUBLIC";0;6;133
"32704";"0720503F";"ECOLE ELEMENTAIRE PUBLIQUE GERARD PHILIPE";"ARNAGE";"NANTES";"Ceintures urbaines";"PUBLIC";0;8;193
"32812";"0720881S";"ECOLE ELEMENTAIRE PUBLIQUE GERARD PHILIPE";"LE MANS";"NANTES";"Grands centres urbains";"PUBLIC";1;16;262
"32957";"0721213C";"ECOLE PRIMAIRE PUBLIQUE J.Y. COUSTEAU";"PRUILLE-LE-CHETIF";"NANTES";"Bourgs ruraux";"PUBLIC";0;5;111
"33091";"0730301F";"ECOLE ELEMENTAIRE -";"ARITH";"GRENOBLE";"Rural à habitat dispersé";"PUBLIC";0;2;44
"33143";"0730512K";"ECOLE PRIMAIRE PUBLIQUE -";"JARRIER";"GRENOBLE";"Rural à habitat dispersé";"PUBLIC";0;3;53
"33201";"0730867W";"ECOLE PRIMAIRE PUBLIQUE LA ROSIERE";"MONTVALEZAN";"GRENOBLE";"Rural à habitat dispersé";"PUBLIC";0;3;51
"33307";"0731100Z";"ECOLE ELEMENTAIRE PUBLIQUE LES TROIS SOURCES";"TRESSERVE";"GRENOBLE";"Centres urbains intermédiaires";"PUBLIC";0;5;119
"33319";"0731129F";"ECOLE ELEMENTAIRE PUBLIQUE MICHEL ZULBERTI";"UGINE";"GRENOBLE";"Petites villes";"PUBLIC";0;5;121
"33362";"0731262A";"ECOLE PRIMAIRE PUBLIQUE -";"NOTRE-DAME-DES-MILLIERES";"GRENOBLE";"Ceintures urbaines";"PUBLIC";0;4;83
"33374";"0731285A";"ECOLE PRIMAIRE PUBLIQUE -";"SAINT-REMY-DE-MAURIENNE";"GRENOBLE";"Bourgs ruraux";"PUBLIC";0;6;116
"33391";"0731328X";"ECOLE ELEMENTAIRE PUBLIQUE LE PRAZ";"COURCHEVEL";"GRENOBLE";"Rural à habitat dispersé";"PUBLIC";0;5;101
"33404";"0731358E";"ECOLE PRIMAIRE PUBLIQUE ALBERT PERRIERE";"LA PLAGNE TARENTAISE";"GRENOBLE";"Rural à habitat dispersé";"PUBLIC";0;4;89
"33527";"0740447J";"ECOLE PRIMAIRE PUBLIQUE -";"NAVES-PARMELAN";"GRENOBLE";"Ceintures urbaines";"PUBLIC";0;4;93
"33621";"0740673E";"ECOLE ELEMENTAIRE PUBLIQUE DE CORNILLON";"SAINT-LAURENT";"GRENOBLE";"Rural à habitat dispersé";"PUBLIC";0;2;44
"33646";"0740731T";"ECOLE ELEMENTAIRE PUBLIQUE MARIANNE COHN";"VIRY";"GRENOBLE";"Bourgs ruraux";"PUBLIC";0;11;253
"33694";"0740842N";"ECOLE PRIMAIRE PUBLIQUE -";"SAINT-JEAN-DE-SIXT";"GRENOBLE";"Bourgs ruraux";"PUBLIC";0;6;142
"33730";"0740945A";"ECOLE PRIMAIRE PRIVEE LA SALLE";"ANNECY";"GRENOBLE";"Grands centres urbains";"PRIVE";0;15;410
"33930";"0750145A";"ECOLE ELEMENTAIRE PRIVEE LES FRANCS BOURGEOIS";"PARIS  4E  ARRONDISSEMENT";"PARIS";"#N/A";"PRIVE";0;10;225
"33933";"0750150F";"ECOLE PRIMAIRE PRIVEE SAINTE-GENEVIEVE";"PARIS  5E  ARRONDISSEMENT";"PARIS";"#N/A";"PRIVE";0;8;190
"34179";"0751112B";"ECOLE ELEMENTAIRE PUBLIQUE GENERAL BRUNET";"PARIS 19E  ARRONDISSEMENT";"PARIS";"#N/A";"PUBLIC";0;8;161
"34199";"0751140G";"ECOLE ELEMENTAIRE PUBLIQUE LESSEPS EB";"PARIS 20E  ARRONDISSEMENT";"PARIS";"#N/A";"PUBLIC";0;8;184
"34266";"0751251C";"ECOLE MATERNELLE PUBLIQUE AQUEDUC C";"PARIS 10E  ARRONDISSEMENT";"PARIS";"#N/A";"PUBLIC";1;10;168
"34271";"0751259L";"ECOLE MATERNELLE PUBLIQUE LACHAMBAUDIE";"PARIS 12E  ARRONDISSEMENT";"PARIS";"#N/A";"PUBLIC";0;4;81
"34292";"0751283M";"ECOLE MATERNELLE PUBLIQUE CLAUZEL";"PARIS  9E  ARRONDISSEMENT";"PARIS";"#N/A";"PUBLIC";0;5;97
"34308";"0751300F";"ECOLE MATERNELLE PUBLIQUE ESPERANCE";"PARIS 13E  ARRONDISSEMENT";"PARIS";"#N/A";"PUBLIC";0;5;121
"34315";"0751309R";"ECOLE MATERNELLE PUBLIQUE GENERAL BRUNET R";"PARIS 19E  ARRONDISSEMENT";"PARIS";"#N/A";"PUBLIC";0;5;122
"34333";"0751331P";"ECOLE MATERNELLE PUBLIQUE LE VAU";"PARIS 20E  ARRONDISSEMENT";"PARIS";"#N/A";"PUBLIC";1;5;80
"34379";"0751383W";"ECOLE MATERNELLE PUBLIQUE RODIER";"PARIS  9E  ARRONDISSEMENT";"PARIS";"#N/A";"PUBLIC";0;4;86
"34384";"0751388B";"ECOLE MATERNELLE PUBLIQUE MADEMOISELLE B";"PARIS 15E  ARRONDISSEMENT";"PARIS";"#N/A";"PUBLIC";0;6;144
"34398";"0751406W";"ECOLE MATERNELLE PUBLIQUE TELEGRAPHE W";"PARIS 20E  ARRONDISSEMENT";"PARIS";"#N/A";"PUBLIC";1;8;124
"34403";"0751411B";"ECOLE MATERNELLE PUBLIQUE TOMBE ISSOIRE";"PARIS 14E  ARRONDISSEMENT";"PARIS";"#N/A";"PUBLIC";0;7;159
"34423";"0751663A";"ECOLE MATERNELLE PUBLIQUE SARRETTE A";"PARIS 14E  ARRONDISSEMENT";"PARIS";"#N/A";"PUBLIC";0;5;94
"34427";"0751895C";"ECOLE PRIMAIRE PRIVEE LA ROCHEFOUCAULD";"PARIS  7E  ARRONDISSEMENT";"PARIS";"#N/A";"PRIVE";0;24;672
"34471";"0752618N";"ECOLE MATERNELLE PUBLIQUE BLANCHE";"PARIS  9E  ARRONDISSEMENT";"PARIS";"#N/A";"PUBLIC";0;5;128
"34567";"0753414D";"ECOLE PRIMAIRE PUBLIQUE MONTEMPOIVRE";"PARIS 12E  ARRONDISSEMENT";"PARIS";"#N/A";"PUBLIC";0;11;254
"34580";"0754306Y";"ECOLE MATERNELLE PUBLIQUE TAPISSERIES";"PARIS 17E  ARRONDISSEMENT";"PARIS";"#N/A";"PUBLIC";0;7;147
"34613";"0754869K";"ECOLE MATERNELLE PUBLIQUE MARTEL K";"PARIS 10E  ARRONDISSEMENT";"PARIS";"#N/A";"PUBLIC";0;6;150
"34663";"0760211S";"ECOLE ELEMENTAIRE PUBLIQUE BENJAMIN FRANKLIN";"ROUEN";"NORMANDIE";"Grands centres urbains";"PUBLIC";0;5;123
"34693";"0760271G";"ECOLE PRIMAIRE PUBLIQUE EDGAR DEGAS";"ROGERVILLE";"NORMANDIE";"Rural à habitat dispersé";"PUBLIC";0;9;201
"34798";"0760534T";"ECOLE ELEMENTAIRE PUBLIQUE WIMARA";"YMARE";"NORMANDIE";"Bourgs ruraux";"PUBLIC";0;4;89
"34815";"0760576N";"ECOLE PRIMAIRE PUBLIQUE -";"NOINTOT";"NORMANDIE";"Rural à habitat dispersé";"PUBLIC";0;7;167
"34860";"0760671S";"ECOLE PRIMAIRE PUBLIQUE -";"MAULEVRIER-SAINTE-GERTRUDE";"NORMANDIE";"Rural à habitat dispersé";"PUBLIC";0;4;81
"35070";"0761234D";"ECOLE MATERNELLE PUBLIQUE LOUIS DE SAINT JUST";"LE HAVRE";"NORMANDIE";"Grands centres urbains";"PUBLIC";0;4;106
"35089";"0761261H";"ECOLE MATERNELLE PUBLIQUE VICTOR HUGO";"LE HAVRE";"NORMANDIE";"Grands centres urbains";"PUBLIC";0;5;130
"35152";"0761480W";"ECOLE PRIMAIRE PUBLIQUE -";"QUEVILLON";"NORMANDIE";"Rural à habitat dispersé";"PUBLIC";0;2;32
"35211";"0761766G";"ECOLE MATERNELLE PUBLIQUE DU MANOIR";"SAINTE-ADRESSE";"NORMANDIE";"Grands centres urbains";"PUBLIC";0;3;64
"35608";"0763196L";"ECOLE PRIMAIRE PUBLIQUE LOUIS PERGAUD";"SAINT-ETIENNE-DU-ROUVRAY";"NORMANDIE";"Grands centres urbains";"PUBLIC";1;10;173
"35630";"0763310K";"ECOLE MATERNELLE PUBLIQUE -";"ECTOT-L'AUBER";"NORMANDIE";"Rural à habitat dispersé";"PUBLIC";0;2;48
"35633";"0763325B";"ECOLE PRIMAIRE PUBLIQUE DU BOIS TISON";"BOIS-D'ENNEBOURG";"NORMANDIE";"Rural à habitat dispersé";"PUBLIC";0;4;90
"35634";"0763326C";"ECOLE ELEMENTAIRE PUBLIQUE JEAN JAURES";"OISSEL";"NORMANDIE";"Centres urbains intermédiaires";"PUBLIC";1;21;379
"35661";"0763589N";"ECOLE ELEMENTAIRE PUBLIQUE ROLAND LEROY";"SAINT-ETIENNE-DU-ROUVRAY";"NORMANDIE";"Grands centres urbains";"PUBLIC";1;14;254
"35668";"0770074M";"ECOLE ELEMENTAIRE PUBLIQUE MOUY-SUR-SEINE";"MOUY-SUR-SEINE";"CRETEIL";"Rural à habitat dispersé";"PUBLIC";0;1;26
"35729";"0770193S";"ECOLE MATERNELLE PUBLIQUE ELSA TRIOLET";"MITRY-MORY";"CRETEIL";"Grands centres urbains";"PUBLIC";0;7;165
"35758";"0770247A";"ECOLE PRIMAIRE PUBLIQUE LES PRES VERTS";"BOUTIGNY";"CRETEIL";"Ceintures urbaines";"PUBLIC";0;4;93
"35792";"0770293A";"ECOLE ELEMENTAIRE PUBLIQUE JEAN DE LA FONTAINE";"JUILLY";"CRETEIL";"Bourgs ruraux";"PUBLIC";0;5;121
"35811";"0770321F";"ECOLE PRIMAIRE PUBLIQUE USSY-SUR-MARNE";"USSY-SUR-MARNE";"CRETEIL";"Bourgs ruraux";"PUBLIC";0;4;83
"35828";"0770345G";"ECOLE PRIMAIRE PUBLIQUE BASSEVELLE";"BASSEVELLE";"CRETEIL";"Rural à habitat dispersé";"PUBLIC";0;2;43
"36005";"0770663C";"ECOLE MATERNELLE PUBLIQUE VICTOR HUGO";"MONTEREAU-FAULT-YONNE";"CRETEIL";"Centres urbains intermédiaires";"PUBLIC";0;6;135
"36018";"0770685B";"ECOLE MATERNELLE PUBLIQUE DONJON";"MORET-LOING-ET-ORVANNE";"CRETEIL";"Centres urbains intermédiaires";"PUBLIC";0;4;75
"36170";"0771114T";"ECOLE ELEMENTAIRE PUBLIQUE GROSSE PIERRE";"MEAUX";"CRETEIL";"Grands centres urbains";"PUBLIC";0;14;304
"36259";"0771441Y";"ECOLE MATERNELLE PUBLIQUE CLAUDE CHAPPE";"CHELLES";"CRETEIL";"Grands centres urbains";"PUBLIC";0;7;150
"36276";"0771462W";"ECOLE ELEMENTAIRE PUBLIQUE LOUIS PASTEUR";"VARENNES-SUR-SEINE";"CRETEIL";"Ceintures urbaines";"PUBLIC";0;12;259
"36350";"0771594P";"ECOLE ELEMENTAIRE PUBLIQUE PLUME VERT";"OZOIR-LA-FERRIERE";"CRETEIL";"Centres urbains intermédiaires";"PUBLIC";0;10;249
"36368";"0771629C";"ECOLE MATERNELLE PUBLIQUE JACQUES MONOD";"DAMMARIE-LES-LYS";"CRETEIL";"Grands centres urbains";"PUBLIC";1;5;106
"36394";"0771682K";"ECOLE ELEMENTAIRE PUBLIQUE LOUIS PERGAUD";"MONTRY";"CRETEIL";"Ceintures urbaines";"PUBLIC";0;6;142
"36485";"0771937M";"ECOLE MATERNELLE PUBLIQUE LES QUATRE SAISONS";"CONDE-SAINTE-LIBIAIRE";"CRETEIL";"Ceintures urbaines";"PUBLIC";0;3;50
"36589";"0772232H";"ECOLE MATERNELLE PUBLIQUE FRANCOISE DOLTO";"NANTEUIL-LES-MEAUX";"CRETEIL";"Ceintures urbaines";"PUBLIC";0;7;175
"36590";"0772233J";"ECOLE MATERNELLE PUBLIQUE PABLO PICASSO";"PONTAULT-COMBAULT";"CRETEIL";"Grands centres urbains";"PUBLIC";0;4;86
"36666";"0772595C";"ECOLE PRIMAIRE PUBLIQUE LES CITES UNIES";"SAVIGNY-LE-TEMPLE";"CRETEIL";"Centres urbains intermédiaires";"PUBLIC";0;13;302
"36707";"0772769S";"ECOLE PRIMAIRE PUBLIQUE CORNELIUS";"CHESSY";"CRETEIL";"Grands centres urbains";"PUBLIC";0;12;290
"36720";"0772806G";"ECOLE PRIMAIRE PUBLIQUE PAUL-EMILE VICTOR";"CESSON";"CRETEIL";"Centres urbains intermédiaires";"PUBLIC";0;10;240
"36733";"0772842W";"ECOLE PRIMAIRE PUBLIQUE LOUISE MICHEL";"VERT-SAINT-DENIS";"CRETEIL";"Centres urbains intermédiaires";"PUBLIC";0;12;301
"36737";"0772852G";"ECOLE ELEMENTAIRE PUBLIQUE DU RU DE LA FONTAINE";"LUMIGNY-NESLES-ORMEAUX";"CRETEIL";"Rural à habitat dispersé";"PUBLIC";0;4;94
"36762";"0780058P";"ECOLE PRIMAIRE PRIVEE STE ODILE";"LE VESINET";"VERSAILLES";"Grands centres urbains";"PRIVE";0;8;230
"36816";"0780228Z";"ECOLE MATERNELLE PUBLIQUE LE PETIT PRINCE";"MEZIERES-SUR-SEINE";"VERSAILLES";"Ceintures urbaines";"PUBLIC";0;4;97
"36861";"0780332M";"ECOLE PRIMAIRE PUBLIQUE G. BRUHAT";"DAMMARTIN-EN-SERVE";"VERSAILLES";"Bourgs ruraux";"PUBLIC";0;10;234
"36942";"0780516M";"ECOLE MATERNELLE PUBLIQUE LA RIBAMBELLE";"ECQUEVILLY";"VERSAILLES";"Ceintures urbaines";"PUBLIC";0;4;95
"36989";"0780619Z";"ECOLE ELEMENTAIRE PUBLIQUE ANTOINE DE ST EXUPERY";"MARLY-LE-ROI";"VERSAILLES";"Grands centres urbains";"PUBLIC";0;12;257
"37005";"0780660U";"ECOLE MATERNELLE PUBLIQUE FREDERIC MISTRAL";"CARRIERES-SOUS-POISSY";"VERSAILLES";"Grands centres urbains";"PUBLIC";1;10;194
"37039";"0780736B";"ECOLE ELEMENTAIRE PUBLIQUE EXELMANS";"VELIZY-VILLACOUBLAY";"VERSAILLES";"Grands centres urbains";"PUBLIC";0;7;161
"37086";"0780826Z";"ECOLE ELEMENTAIRE PUBLIQUE CHAMPMESNIL";"LE MESNIL-SAINT-DENIS";"VERSAILLES";"Grands centres urbains";"PUBLIC";0;11;260
"37125";"0780921C";"ECOLE ELEMENTAIRE PUBLIQUE CHEVRELOUP";"LE CHESNAY-ROCQUENCOURT";"VERSAILLES";"Grands centres urbains";"PUBLIC";0;7;175
"37233";"0781234T";"ECOLE MATERNELLE PUBLIQUE LA BOISSIERE";"PLAISIR";"VERSAILLES";"Grands centres urbains";"PUBLIC";0;3;77
"37241";"0781252M";"ECOLE MATERNELLE PUBLIQUE LES BOIS";"MEULAN-EN-YVELINES";"VERSAILLES";"Centres urbains intermédiaires";"PUBLIC";0;4;104
"37269";"0781318J";"ECOLE MATERNELLE PUBLIQUE LES CHAMPAGNES";"CHATOU";"VERSAILLES";"Grands centres urbains";"PUBLIC";0;3;79
"37273";"0781327U";"ECOLE ELEMENTAIRE PUBLIQUE MARCEL PAGNOL";"COIGNIERES";"VERSAILLES";"Grands centres urbains";"PUBLIC";0;5;119
"37294";"0781365K";"ECOLE PRIMAIRE PUBLIQUE -";"TESSANCOURT-SUR-AUBETTE";"VERSAILLES";"Ceintures urbaines";"PUBLIC";0;4;92
"37325";"0781414N";"ECOLE ELEMENTAIRE PUBLIQUE -";"MERICOURT";"VERSAILLES";"Rural à habitat dispersé";"PUBLIC";0;2;43
"37343";"0781441T";"ECOLE PRIMAIRE PUBLIQUE -";"AUFFREVILLE-BRASSEUIL";"VERSAILLES";"Rural à habitat dispersé";"PUBLIC";0;3;60
"37365";"0781481L";"ECOLE ELEMENTAIRE PUBLIQUE -";"ROSAY";"VERSAILLES";"Rural à habitat dispersé";"PUBLIC";0;2;44
"37383";"0781508R";"ECOLE ELEMENTAIRE PUBLIQUE PAUL BERT";"SARTROUVILLE";"VERSAILLES";"Grands centres urbains";"PUBLIC";1;11;180
"37421";"0781700Z";"ECOLE MATERNELLE PUBLIQUE LES COUTURES";"MANTES-LA-VILLE";"VERSAILLES";"Grands centres urbains";"PUBLIC";0;4;98
"37441";"0781759N";"ECOLE MATERNELLE PUBLIQUE LES CERISIERS";"CROISSY-SUR-SEINE";"VERSAILLES";"#N/A";"PUBLIC";0;5;132
"37464";"0781870J";"ECOLE ELEMENTAIRE PUBLIQUE ANDRE CHENIER";"MONTIGNY-LE-BRETONNEUX";"VERSAILLES";"Grands centres urbains";"PUBLIC";0;6;143
"37486";"0781960G";"ECOLE MATERNELLE PUBLIQUE PEINTRE GEROME";"BOUGIVAL";"VERSAILLES";"Grands centres urbains";"PUBLIC";0;6;130
"37522";"0782222S";"ECOLE MATERNELLE PUBLIQUE JEAN JAURES";"LE MESNIL-LE-ROI";"VERSAILLES";"Grands centres urbains";"PUBLIC";0;5;110
"37564";"0782337S";"ECOLE MATERNELLE PUBLIQUE LEON JOUANNET";"SAINT-CYR-L'ECOLE";"VERSAILLES";"Grands centres urbains";"PUBLIC";0;6;127
"37615";"0783070N";"ECOLE MATERNELLE PUBLIQUE MONTEBELLO";"MAISONS-LAFFITTE";"VERSAILLES";"Grands centres urbains";"PUBLIC";0;4;94
"37616";"0783071P";"ECOLE MATERNELLE PUBLIQUE JEAN COCTEAU";"MAISONS-LAFFITTE";"VERSAILLES";"Grands centres urbains";"PUBLIC";0;6;146
"37643";"0783262X";"ECOLE ELEMENTAIRE PUBLIQUE PAUL LANGEVIN";"ACHERES";"VERSAILLES";"Grands centres urbains";"PUBLIC";0;10;220
"37841";"0790380J";"ECOLE PRIMAIRE PUBLIQUE -";"SURIN";"POITIERS";"Rural à habitat dispersé";"PUBLIC";0;3;70
"37859";"0790428L";"ECOLE MATERNELLE PUBLIQUE JEAN MOULIN";"CERIZAY";"POITIERS";"Bourgs ruraux";"PUBLIC";1;8;115
"37901";"0790537E";"ECOLE PRIMAIRE PUBLIQUE CLAZAY";"BRESSUIRE";"POITIERS";"Bourgs ruraux";"PUBLIC";0;3;44
"37920";"0790606E";"ECOLE ELEMENTAIRE PUBLIQUE E.PEROCHON";"AIRVAULT";"POITIERS";"Rural à habitat dispersé";"PUBLIC";0;6;146
"37960";"0790722F";"ECOLE MATERNELLE PUBLIQUE PASTEUR";"NIORT";"POITIERS";"Centres urbains intermédiaires";"PUBLIC";0;3;53
"38028";"0790919V";"ECOLE PRIMAIRE PUBLIQUE -";"SAINT-MAXIRE";"POITIERS";"Rural à habitat dispersé";"PUBLIC";0;5;115
"38108";"0800287C";"ECOLE PRIMAIRE PUBLIQUE -";"BETTENCOURT-SAINT-OUEN";"AMIENS";"Bourgs ruraux";"PUBLIC";1;4;71
"38133";"0800377A";"ECOLE ELEMENTAIRE PUBLIQUE -";"BIACHES";"AMIENS";"Rural à habitat dispersé";"PUBLIC";1;2;28
"38207";"0800822J";"ECOLE PRIMAIRE PUBLIQUE LE BEFFROI";"ABBEVILLE";"AMIENS";"Centres urbains intermédiaires";"PUBLIC";0;13;269
"38245";"0800883A";"ECOLE ELEMENTAIRE PUBLIQUE SAINT-MAURICE  A";"AMIENS";"AMIENS";"Grands centres urbains";"PUBLIC";1;4;73
"38282";"0800996Y";"ECOLE PRIMAIRE PUBLIQUE LES HIRONDELLES";"VILLERS-BOCAGE";"AMIENS";"Bourgs ruraux";"PUBLIC";0;7;167
"38326";"0801147M";"ECOLE ELEMENTAIRE PUBLIQUE -";"SOURDON";"AMIENS";"Rural à habitat dispersé";"PUBLIC";0;2;53
"38365";"0801390B";"ECOLE PRIMAIRE PRIVEE SAINT MARTIN";"AMIENS";"AMIENS";"Grands centres urbains";"PRIVE";0;12;313
"38595";"0810250G";"ECOLE PRIMAIRE PUBLIQUE -";"ROQUEMAURE";"TOULOUSE";"Rural à habitat dispersé";"PUBLIC";0;2;34
