"";"code_ecole";"nom_ecole";"commune";"academie";"densite";"secteur";"rep";"classes";"eleves"
"24109";"0591062J";"ECOLE PRIMAIRE PUBLIQUE LOUISE THULIEZ";"PREUX-AU-BOIS";"LILLE";"Rural à habitat dispersé";"PUBLIC";0;3;70
"24134";"0591154J";"ECOLE MATERNELLE PUBLIQUE ANNE FRANK";"FEIGNIES";"LILLE";"Ceintures urbaines";"PUBLIC";1;2;27
"24142";"0591197F";"ECOLE PRIMAIRE PUBLIQUE LE CENTRE";"FLOYON";"LILLE";"Rural à habitat très dispersé";"PUBLIC";0;3;52
"24293";"0591622T";"ECOLE MATERNELLE PUBLIQUE AUGUSTE COMTE";"LILLE";"LILLE";"Grands centres urbains";"PUBLIC";0;3;47
"24384";"0591915L";"ECOLE PRIMAIRE PUBLIQUE LA CLAIRIERE";"LA NEUVILLE";"LILLE";"Ceintures urbaines";"PUBLIC";0;3;66
"24420";"0591999C";"ECOLE PRIMAIRE PUBLIQUE -";"RAMILLIES";"LILLE";"Ceintures urbaines";"PUBLIC";0;2;40
"24462";"0592089A";"ECOLE PRIMAIRE PIERRE DE RONSARD NIVEAU 1";"ROUBAIX";"LILLE";"Grands centres urbains";"PUBLIC";1;7;92
"24466";"0592100M";"ECOLE MATERNELLE PUBLIQUE EDOUARD VAILLANT";"ROUBAIX";"LILLE";"Grands centres urbains";"PUBLIC";0;4;90
"24486";"0592143J";"ECOLE PRIMAIRE PUBLIQUE LEON DORLEANT";"SAINS-DU-NORD";"LILLE";"Bourgs ruraux";"PUBLIC";0;7;137
"24515";"0592218R";"ECOLE PRIMAIRE PUBLIQUE -";"SARS-ET-ROSIERES";"LILLE";"Bourgs ruraux";"PUBLIC";0;5;113
"24528";"0592261M";"ECOLE MATERNELLE PUBLIQUE JEAN ZAY MARIE CURIE";"SOLESMES";"LILLE";"Bourgs ruraux";"PUBLIC";0;5;102
"24576";"0592370F";"ECOLE PRIMAIRE PUBLIQUE PASTEUR";"TOURCOING";"LILLE";"Grands centres urbains";"PUBLIC";1;10;165
"24580";"0592377N";"ECOLE PRIMAIRE PUBLIQUE JEAN DE LA FONTAINE";"TOURMIGNIES";"LILLE";"Petites villes";"PUBLIC";0;4;89
